Lidepla,Type,English,Russian,Source
me bu he expekti vidi yu ,, I did not expect to see you,,
expekta ,kwo, (kwo) expectation,,
sobre expekta ,, beyond expectation,,
experimenta ,kwo, (kwo) experiment,"эксперимент; experimenti экспериментировать, проводить эксперимент",
experimentale ,kwel, (kwel) experimental,,
experimenti ,zwo, (zwo) experiment,,
experta ,kwo, (kwo) expert,эксперт; experta-ney (experte) экспертный,
experta-ney (experte) ,kwel, (kwel) expert,,
expiri ,zwo," (zwo) expire (to come to an end (of time), terminate)","истекать (о сроке); expira окончание, истечение (срока)",
expira ,kwo," (kwo) expiration (coming to a close, termination)",,
expliki ,zwo," (zwo) explain, explicate",объяснять; explika объяснение,
explika ,kwo," (kwo) explanation, explication",,
explori ,zwo," (zwo) explore; reconnoiter, scout","разведывать; исследовать; explora разведка; исследование; explorer разведчик; исследователь, первооткрыватель",
explora ,kwo, (kwo) exploration; reconnaissance,,
explorer ,kwo, (kwo) explorer; scout,,
explosi ,zwo," (zwo) explode, detonate",взрывать(ся); explosa взрыв; explosive взрывной; explosika взрывчатка,
explosa ,kwo, (kwo) esplosion,,
explosive ,kwel, (kwel) explosive,,
explosika ,kwo, (kwo) explosives,,
exploti ,zwo, (zwo) exploit (to get the value out of; to employ to the greatest possible advantage; to make use of selfishly or unethically),эксплуатировать; использовать; explota эксплуатация,
explota ,kwo, (kwo) exploitation,,
exponenta ,kwo, (kwo) exponent (math.),"порядок, показатель степени",
exporti ,zwo, (zwo) export,экспортировать; exporta экспорт,
exporta ,kwo," (kwo) export, exportation Ant.: importi",,
exposi ,zwo," (zwo) expose (to subject or allow to be subjected; to set in public view, introduce to, exhibit)",выставлять напоказ; подвергать (чему-либо); подставлять (под действие чего-либо): exposi a riska подвергнуть риску; exposa выставление напоказ; выставка; экспозиция,
exposi a riska ,, expose to risk,,
exposa ,kwo," (kwo) exposition (act or example of exposing; a public exhibition or show, as of artistic or industrial developments)",,
expres ,kwo," (kwo) express (smth quick, e.g. a means of transport, such as a train, that travels rapidly)","экспресс (что-то быстрое, например поезд); expres-kursa экспресс-курс",
expres-kursa ,, an express course,,
expresi ,zwo, (zwo) express (convey meaning),выражать; expresa выражение; expresive выразительный,
expresa ,kwo, (kwo) expression,,
expresive ,kwel," (kwel) expressive, full of expression",,
extas ,kwo," (kwo) ecstasy, rapture","экстаз, восторг",
extendi ,zwo," (zwo) extend, spread, stretch (cf. “stiri”)","тянуть(ся); протянуть, вытянуть; стелить(ся), расстилать(ся); extendi brachas — протянуть, простереть руки; lu extendi-te gambas он вытянул ноги; extendi tel inter stolba натянуть проволоку между столбами; extenda протяжение, протяжённость ",
lu extendi-te gambas ,, he stretched out his legs,,
extendi nayu on pan ,, spread bread with butter,,
extendi tel inter dwa stolba ,, stretch the wire between two posts,,
extenda ,kwo," (kwo) extension, spread",,
externe ,kwel, (kwel) external Syn.: ausen-ney Ant.: interne,внешний,
extirpi ,zwo," (zwo) extirpate, uproot; destroy wholly, eradicate, weed out","вырывать с корнем, уничтожать, удалять (растения, деревья, сорняки, бурьян), корчевать; искоренять; истреблять, ликвидировать; выводить; полностью уничтожать (народ, класс, секту; отдельные виды растений, животных)",
extrakti ,zwo," (zwo) extract, draw from/out","извлекать; экстрагировать; вырывать (о зубе); extrakta извлечение; экстракт, вытяжка (тж. extraktura)",
extrakta ,kwo, (kwo) extract,,
extreme ,kwel," (kwel) extreme, extremal","крайний, чрезвычайный; экстремальный; extremem крайне",
extremem ,komo, (komo) extremely,,
fa ,,"1) (syao-gramatika) ""to get, to become""","1) глагольный префикс со значением ""становиться, делаться"". Пишется через дефис, но в сочетаниях может и без дефиса. Примеры: akwa fa-warme вода теплеет (warme тёплый); fa-tume темнеет (tume тёмный); luy wangas fa-rude его щёки краснеют (rude красный); fa-gran увеличиваться; jiva fa oltaim pyu hao жизнь хорошеет всё больше; luy stasa fa-hao-te его состояние улучшилось; fa-dey рассветает. При употреблении с глаголами передаёт нетранзитивность: fa-astoni удивляться (astoni удивлять). 2) Фа (муз. нота)",
"tume ""dark"" ",," fa-tume ""grow/get dark, darken""",,
"rude ""red"" ",," fa-rude ""redden""",,
"gran ""big"" ",," fa-gran ""get bigger, enlarge""",,
fa-nocha ,, the night is coming,,
fa-dey ,, it dawns,,
fa,,2) optional marker of intransitivity,"1) глагольный префикс со значением ""становиться, делаться"". Пишется через дефис, но в сочетаниях может и без дефиса. Примеры: akwa fa-warme вода теплеет (warme тёплый); fa-tume темнеет (tume тёмный); luy wangas fa-rude его щёки краснеют (rude красный); fa-gran увеличиваться; jiva fa oltaim pyu hao жизнь хорошеет всё больше; luy stasa fa-hao-te его состояние улучшилось; fa-dey рассветает. При употреблении с глаголами передаёт нетранзитивность: fa-astoni удивляться (astoni удивлять). 2) Фа (муз. нота)",
"astoni ""to astonish"" ",," fa-astoni ""to be (become) astonished""",,
fa,,3) (kwo) F (mus.),"1) глагольный префикс со значением ""становиться, делаться"". Пишется через дефис, но в сочетаниях может и без дефиса. Примеры: akwa fa-warme вода теплеет (warme тёплый); fa-tume темнеет (tume тёмный); luy wangas fa-rude его щёки краснеют (rude красный); fa-gran увеличиваться; jiva fa oltaim pyu hao жизнь хорошеет всё больше; luy stasa fa-hao-te его состояние улучшилось; fa-dey рассветает. При употреблении с глаголами передаёт нетранзитивность: fa-astoni удивляться (astoni удивлять). 2) Фа (муз. нота)",
fabrika ,kwo," (kwo) factory, plant, works","фабрика, завод; fabriki производить, изготовлять; фабриковать; fabriking изготовление, производство",
fabriki ,zwo," (zwo) fabricate, manufacture",,
fabula ,kwo, (kwo) fable; fairy-tale,"басня; сказка; fabulalik баснословный, сказочный",
fabula-ney ,kwel, (kwel) fabulous (of the nature of a fable; unhistorical),,
fabulalik ,kwel, (kwel) fabulous (incredible),,
fadi ,zwo, (zwo) fade,"вянуть, увядать; затухать; fading увядание",
fading ,kwo, (kwo) fading,,
fah ,kwo," (kwo) field of knowledge, province, speciality","1) предмет (обучения): lernifah учебный предмет; 2) отрасль, область, отдел (науки); специальность, дело: forjifah кузнечное дело; lu es master de suy fah он мастер своего дела; psikologier segun fah психолог по специальности; bu es suy fah это не по его части (специальности)",
samaji swa-ney fah ,, understand one's business,,
bu es suy fah ,," that is out of his province, that's not in his line",,
lu es master de suy fah ,, he is an artist/virtuoso,,
lernifah ,kwo, (kwo) subject (course of study),,
forjifah ,kwo, (kwo) blacksmithing,,
fai ,zwo," (zwo) ""to do, to perform action connected with"" (only in combination with nouns or adverbs)","вспомогательный глагол, употребляемый в сочетании с существительными и наречиями и имеющий общий смысл ""делать, производить активное действие"": fai interes om koysa — проявлять интерес к чему-л., интересоваться; fai sukses — иметь успех; fai kasam — клясться; fai bak! — может значить ""осади назад!"" или ""кидай назад!"" и т.д. En-fai interes om koysa - начать интересоваться, заинтересоваться чем-л. Defai - отменять, устранять: defai orda отменять заказ; defai pyasa утолять жажду; defai interes om koysa - потерять интерес к чему-л. Me bu mog fai sin merki ke... Я не мог не заметить, что...",
fai interes om koysa ,, to take an interest in smth,,
en-fai interes om koysa ,, to become interested in smth,,
defai interes om koysa ,, to lose interest in smth,,
fai kasam ,, to make (take) a vow,,
fai sukses ,, to succeed,,
Me bu mog fai sin dumi om to. ,, I couldn’t help thinking about it.,,
fail ,kwo, (kwo) file (computer),"файл; faildan папка, каталог",
faildan ,kwo, (kwo) folder (computer),,Estonian
faine ,kwel," (kwel) fine (very small in size, weight, or thickness; refined; subtle)","мелкий; тонкий, чуткий; faine gusta тонкий вкус; fainitaa утончённость",
faine gusta ,, a fine taste,,
fainitaa ,kwo, (kwo) refinement; finesse,,
fakir ,kwo, (kwo) fakir,факир,
fakta ,kwo, (kwo) fact,"факт; fakta-ney (fakte) фактический; faktem, pa fakta фактически",
fakta-ney (fakte) ,kwel," (kwel) factual, actual",,
fakta-nem (faktem) ,komo," (komo) in fact, actually",,
pa fakta = faktem,," (komo) in fact, actually",,Indonesian
faktor ,kwo, (kwo) factor,фактор,
fali ,zwo," (zwo) fail, miscarry, not to succeed","потерпеть неудачу, не удаться, не смочь; отказать (не срабатывать); fala неудача, провал, промах и т.д.; mah-fali ""запороть"", сорвать, испортить, привести к срыву; sin fala обязательно, непременно;  nofalibile непременный, обязательный; falnik неудачник; fali-ney неудачный, провальный; pistola fai fala пистолет дал осечку; brek fali отказали тормоза; motor fali мотор отказал",
fali-ney ,," failed, unsuccessful",,
brek fali ,, brakes failed,,
motor fali ,, the engine failed,,
fala ,kwo, (kwo) failure; fiasco,,
sin fala ,," without fail, surely (syn.: zaruu)",,
pistola fai fala ,, pistol misfired,,
mah-fali ,zwo," (zwo) derange, foil, frustrate, wreck, bring to naught",,
nofalibile ,," certain, definite to happen",,
falnik ,kwo, (kwo) unlucky fellow/person,,
falkon ,kwo, (kwo) falcon,сокол,
false ,kwel, (kwel) false; fake,"ложный, фальшивый; falsitaa фальшь, фальшивость; ложность",
falsitaa ,kwo, (kwo) falseness; falsity,,
falsifiki ,zwo," (zwo) falsify, counterfeit, forge","подделывать, фальсифицировать; falsifika подделка; фальсификация",
falsifika ,kwo," (kwo) falsification, forgery, counterfeit",,
falta ,kwo," (kwo) lack, shortage","недостаток, нехватка, отсутствие (чего-либо); falti недоставать, не хватать; fo to haishi mucho falti - до этого ещё далеко; spira-falta одышка, задышка",
falti ,zwo, (zwo) lack,,
ta falti kuraja ,, he/she lacks courage,,
fama ,kwo," (kwo) fame, renown; repute","известность, популярность, знаменитость, слава, репутация; fama-ney знаменитый; dusfama дурная слава; dusfama-ney печально известный, пользующийся дурной репутацией; dusfamisi порочить, компрометировать",
fama-ney ,kwel," (kwel) famous, renowned",,
dusfama ,kwo," (kwo) ill fame, notoriety",,
dusfama-ney ,kwel," (kwel) ill-famed, infamous, notorious",,
dusfamisi ,zwo," (zwo) defame, discredit, besmirch",,
familia ,kwo, (kwo) family,"семья, семейство; род; familianam фамилия",
familianam ,kwo, (kwo) family name,,
fan ,kwo, (kwo) food,"пища; fanshop продовольственный магазин; deyfan обед, sabahfan завтрак, akshamfan ужин; fantabla обеденный стол",
akshamfan ,kwo, (kwo) evening meal; supper,ужин,
deyfan ,kwo, (kwo) midday meal; dinner,обед,
fanshop ,kwo," (kwo) food store, grocery",,
fantabla ,kwo, (kwo) dinner table,,
sabahfan ,kwo," (kwo) morning meal, breakfast",завтрак,Mandarin
fanata ,kwo," (kwo) fan; fanatic, zealot",фанатик; fanatike фанатичный; fanatisma фанатизм,
fanatike ,kwel, (kwel) fanatical,,
fanatisma ,kwo, (kwo) fanatism,,
fantasia ,kwo," (kwo) fantasy (creative imagination; imagined event, fiction)","фантазия, творческое воображение; мечта, плод фантазии (воображения); выдумка; fantasi фантазировать, мечтать, выдумывать",
fantastike ,kwel, (kwel) fantastic,фантастический; fantastika фатастика,
fantastika ,kwo, (kwo) fiction,,
fantom ,kwo," (kwo) phantom (ghost, apparition; illusion)",фантом; призрак,
fantom-ney tunga ,, phantom pain,,Polish
fanus ,kwo," (kwo) lantern, light",фонарь; фонарик; fai fanus светить фонариком,
el-fanus ,, electric torch,,
fanusyuan ,kwo, (kwo) lamplighter,,Swahili
fara ,kwo, (kwo) headlight,фара,Russian
farad ,kwo, (kwo) farad,фарад; shi farad десять фарад; sto pikofarad сто пикофарад,
Farenhait ,kwo, (kwo) Fahrenheit,Фаренгейт; 25 gradus do Farenhait,
petshi gradus do Farenhait ,, 50 degrees Fahrenheit,,
farfari ,zwo," (zwo) snort, sniff",фыркать,Arabic
farina ,kwo, (kwo) flour,мука'; farini koysa обвалять что-л. в муке,
farini ,zwo, (zwo) dust with flour,,
farka ,kwo, (kwo) difference,"разница, различие; farka-ney (farke) разный, различный; farka-nem (farkem) по-разному; farki отличаться, различаться (fon koysa - от чего-л.)",
gro-farka ,," great or obvious difference, contrast",,
farka-ney (farke) ,kwel, (kwel) different,,
farka-nem (farkem) ,komo, (komo) differently,,
farki ,zwo, (zwo) differ,,Arabic
farmak ,kwo," (kwo) medicine, medicament, drug, pharmaceutical preparation","медикамент, фармацевтическое средство; farmakguan аптека; farmakista фармацевт; farmakyuan аптекарь",
farmakguan ,kwo," (kwo) pharmacy, drugstore",,
"farmakista, farmakyuan ",kwo, (kwo) pharmacist,,Greek
farmakologia ,kwo, (kwo) pharmacology,фармакология,
farna ,kwo, (kwo) fern,папортник,
farting ,kwo, (kwo) farthing (coin),фартинг (монета),
farwa ,kwo, (kwo) fur,мех; farwaklaida меховая одежда,
farwaklaida ,, fur clothes,,
farwapalto ,, fur coat,,Arabic
fas ,kwo, (kwo) face,лицо; me bu remembi luy fas я не помню его лица,
fasa ,kwo, (kwo) phase,фаза,Russian
fasada ,kwo," (kwo) facade, front",фасад,Czech
faseta ,kwo, (kwo) facet,"грань (геом., кристалла и т.д.)",Spanish
fasia ,kwo," (kwo) 1) sheaf, bundle","связка, сноп (тж.перен: лучей, волокон), пук; фасция",
luma-fasia ,, shaft of light,,
ray-fasia ,, sheaf of rays,,
kula-fasia ,, cone of bullets,,
fasia ,,2) fascia (connective tissue),"связка, сноп (тж.перен: лучей, волокон), пук; фасция",
fasile ,kwel," (kwel) easy, taking little effort","нетрудный, лёгкий. Bu es mushkile, es fasile - Это не трудно, это легко.",
"bu es mushkile, es ga fasile ",," it is not difficult, it is quite easy",,
fasilem ,komo, (komo) easily,,
fasilitaa ,kwo, (kwo) easiness,,
mah-fasile ,zwo," (zwo) facilitate, make easy or easier",,
fasol ,kwo, (kwo) haricot (plant or its bean),фасоль,Russian
fasta ,kwo, (kwo) fast (abstaining from food),"пост; fasti поститься, granfasta великий пост",
granfasta ,, Lent,,
fasti ,zwo, (zwo) fast,,
fata ,kwo," (kwo) fate, doom (cf. “kisma”, one’s lot, destiny)","фатум, рок, судьба (судьба как участь, доля - kisma)",
fatale ,kwel, (kwel) fatal,"фатальный, роковой",
fatigi ,zwo, (zwo) get tired; make weary,"уставать, утомлять(ся); fatiga усталость, утомление; fatiga-ney (fatige) усталый; fatigi-ney (fatigen) утомившийся; fatigi-she утомительный; устающий; sinfatiga-ney (sinfatige) неутомимый; неугомонный",
fatiga ,kwo," (kwo) tiredness, weariness, fatigue",,
fatiga-ney (fatige) ,kwel," (kwel) weary, tired",,
fatigi-ney (fatigen) ,kwel," (kwel) tired, fatigued",,
fatigi-she ,kwel, (kwel) tiresome,,
sinfatiga-ney (sinfatige) ,kwel," (kwel) tireless, indefatigable",,
fatom ,kwo, (kwo) fathom (a unit of length equal to 6 feet),"фатом, фадом, морская сажень (=6 футов, или 182 см)",
fauha ,kwo," (kwo) smell, odour","запах; fauhi пахнуть; чуять, обонять; fauhing обоняние; fauhisens чувство обоняния; dusfauha вонь; dusfauhi вонять, смердить",
fauhi ,zwo, (zwo) smell (to have a smell; to sense a smell),,
"fauhing, fauhisens ",kwo, (kwo) sense of smell,,
dusfauha ,kwo," (kwo) fetor, stench, stink",,
dusfauhi ,zwo," (zwo) stink, reek",,Arabic
faula ,kwo, (kwo) bird,птица; yunfaula птенец,
yunfaula ,kwo, (kwo) baby bird,,
faulafobika ,kwo, (kwo) scarecrow Origin: faula+fobi+ka,пугало,
favor ,kwo," (kwo) favour (an approving attitude, good will; an act performed out of good will, generosity, or mercy)","одолжение, услуга; расположение, благосклонность, милость, фавор; pregi koywan om favor — просить кого-л об одолжении; favori поощрять, благоприятствовать, благоволить: varias gei favori - вариации приветствуются; favor-ney благоприятный",
pregi koywan om favor ,, ask someone for a favour,,
favor-ney ,kwel, (kwel) favourable,,
favori ,zwo," (zwo) favour (treat or regard with kindness, befriend)",,
favorite ,kwel, (kwel) favourite,"излюбленный, любимый; favorita фаворит",
favorita ,kwo, (kwo) favourite Syn.:preferi-ney,,
fax ,kwo, (kwo) fax,факс; faxi передавать факсом,
faxi (fai fax) ,zwo, (zwo) fax,,Hebrew
feble ,kwel," (kwel) weak, feeble",слабый; feblitaa слабость; feblifi (fa-feble) слабеть; feblisi (mah-feble) ослаблять; feblifa/feblisa ослабление,
feblem ,komo, (komo) weakly,,
mah-feble (feblisi) ,zwo," (zwo) weaken, enfeeble, make weaker",,
fa-feble (feblifi) ,zwo," (zwo) weaken, become weaker",,
febli ,zwo, (zwo) weaken (tr./intr.),,
feblitaa ,kwo, (kwo) weakness,,
feble-menta-ney ,kwel," (kwel) weak-minded, feeble-minded",слабоумный,
febra ,kwo, (kwo) fever,лихорадка; febra-ney лихорадочный; фебрильный,
febra-ney ,kwel," (kwel) feverish, febrile",,
februar ,kwo, (kwo) February (also mes-dwa),февраль (тж. mes-dwa),
federasion ,kwo, (kwo) federation,"федерация; federasion-ney федеративный, федеральный",
federasion-ney ,kwel, (kwel) federal,,
fek ,kwo," (kwo) feces, excrement","экскременты, кал; fekale фекальный; feki испражняться",
fekale ,kwel, (kwel) fecal,,
feki ,zwo, (zwo) defecate,,
feking ,kwo, (kwo) defecation Syn.: kaka,,
felda ,kwo, (kwo) field,поле (тж.область): felda de akting область действия; в физ.смысле: magnetfelda магнитное поле; feldakin поляна,
felda de akting ,, field of action,,
magnetfelda ,, magnetic field,,
feldakin ,," glade, clearing (cf. ""agra"")",,
felise ,kwel, (kwel) happy,счастливый; felisitaa счастье,
mah-felise ,zwo, (zwo) make happy,,
felisitaa ,kwo, (kwo) happiness,,
felta ,kwo, (kwo) felt,"фетр, войлок; felta-ney фетровый",
femina ,kwo, (kwo) female,самка; femina-ney (femine) женский; относящийся к самке; feminasexu женский род; feminum (грам.) женский род; feminisma феминизм,
femina-ney (femine) ,kwel, (kwel) female,,
feminasexu ,kwo, (kwo) female sex,,
feminum ,kwo, (kwo) feminine gender (gramm.),,
feminisma ,kwo, (kwo) feminism,,
feminista ,kwo, (kwo) feminist,,
fen ,, (gramatika) forms fractions,"образует дроби: un (de) trifen — одна третья; sem shifen — семь десятых; tri stofen — три сотых; charfen, charfenka четверть; shifen, shifenka десятая доля",
un (de) trifen ,, one third,,
sem shifen ,, seven tenths,,
tri stofen ,, three hundredths,,
pet otfen ,, five eighths,,
"charfen, charfenka ",, quarter,,
charfen (de) ora ,, a quarter of an hour,,Mandarin
fendi ,zwo," (zwo) split (lengthwise), slit, cleave","раскалывать, колоть; расщеплять; разрезать, рассекать (волны и т.д.)",
feng ,kwo, (kwo) wind,"ветер; fengi дуть (о ветре): sedey fengi gro - сегодня сильный ветер; fenging поток ветра, сквозняк; befengi обдувать, обмахивать; befenger веер, опахало",
gro-feng ,kwo," (kwo) strong wind, gale",,
fengi ,zwo, (zwo) blow (about wind),,
sedey fengi gro ,, there is a strong wind today,,
fenging ,kwo," (kwo) air current, draught",,
befengi ,zwo, (zwo) fan (blow air on),,
befenger ,zwo, (zwo) fan (cooling device),,Mandarin
fenomen ,kwo, (kwo) phenomenon,явление,
fenomenale ,kwel, (kwel) phenomenal,,Turkish
fenshan ,kwo," (kwo) customs, manners, morals","нравы, обычаи",Mandarin
fenshu ,kwo," (kwo) mark, grade (assessment)","отметка, оценка, балл; pai fenshu ""pet"" получить пятёрку",Mandarin
fer ,kwo, (kwo) iron,"железо; ferka железная вещь, железка; ferdao железная дорога",
ferka ,kwo, (kwo) an iron thing; piece of iron,,
ferdao ,kwo, (kwo) railway (cf. “yunda”),,
feri ,kwo," (kwo) ferry, ferryboat",паром,
ferma ,kwo, (kwo) farm,ферма,Armenian
fermenta ,kwo," (kwo) ferment (as yeast, leaven)","фермент; fermenti ферментировать(ся), бродить",
fermenti ,zwo, (zwo) ferment,,
fermenting ,kwo, (kwo) fermentation,,
fermyum ,kwo, (kwo) fermium (chem.),фермий (хим.),
ferose ,kwel," (kwel) fierce, ferocious","свирепый, лютый; яростный",
festa ,kwo," (kwo) holiday, celebration, festivities","праздник (выходной - bugundey); festi праздновать, отмечать; festing празднование; festachia пир; festike праздничный",
festi ,zwo, (zwo) celebrate,,
festike ,kwel, (kwel) celebratory,,
festing ,kwo, (kwo) celebration,,
festachia ,kwo, (kwo) feast,,
festival ,kwo, (kwo) festival,фестиваль,Danish
fet ,kwo, (kwo) fat; grease,жир; fet-ney жирный; сальный; засаленный; swina-fet сало; fet-baka курдюк; feti жиреть; mah-feti откармливать,
fet-ney ,kwel, (kwel) fat; fatty; greasy,,
swina-fet ,kwo, (kwo) lard,,
fet-baka ,kwo, (kwo) fat(ty) tail (of certain breeds of sheep),,
feti ,zwo, (zwo) fatten,,German
feya ,kwo, (kwo) fairy,фея,Russian
fiasko ,kwo," (kwo) fiasco, complete failure","фиаско, неудача; lu he fai fiasko его постигла неудача",
fai fiasko ,, have a fiasco Syn.: fala,,Finnish
fibra ,kwo," (kwo) fibre, fiber",волокно,
ficha ,kwo," (kwo) playing piece: chip, token, fish, counter",фишка; фигура (в шахматах); шашка (в шашках),
fidele ,kwel," (kwel) faithful, staunch, loyal","верный, преданный; fidelitaa преданность, верность",
fidelitaa ,kwo," (kwo) fidelity, loyalty, staunchness",,
fidi ,zwo," (zwo) trust, confide in, have faith in; rely on","доверять; полагаться на; fida доверие; fidishil доверчивый; fidival надёжный, заслуживающий доверия; тот, на кого можно положиться; nofida недоверие; nofida-nem (nofidem) недоверчиво",
fidi sol a swa selfa ,, rely only on oneself,,
fida ,kwo," (kwo) confidence, trust, faith",,
nofida ,kwo, (kwo) distrust,,
nofida-nem (nofidem) ,komo," (komo) with distrust, distrustfully, mistrustfully",,
fidival ,kwel," (kwel) trustworthy, reliable, dependable",,
fidishil ,kwel," (kwel) trusting, trustful",,
figa ,kwo, (kwo) fig (bot.),"фига, инжир; figabaum смоковница",
figabaum ,kwo, (kwo) fig-tree,,Slovene
figura ,kwo," (kwo) figure (outside form, shape of a body; appearance, representation; also geom.); chessman, chesspiece",фигура (тж. шахматная или в другой игре); figuri фигурировать,
figuri ,zwo," (zwo) figure (to be pertinent or involved, appear ",,
fiktia ,kwo," (kwo) fiction (imaginative creation, fabrication, invention)","фикция, вымысел; fiktike фиктивный",
fiktike ,kwel," (kwel) fictitious; fake, sham",,
fikus ,kwo, (kwo) ficus,фикус,
fila ,kwo," (kwo) row, line, string; queue, file (a line of persons or things)","ряд; шеренга; вереница, цепочка; очередь (людская); formi fila выстроиться в ряд; fai fila стоять в очереди; plasa in un-ney fila места в первом ряду",
fai fila ,, stand in line (in a queue),,
formi fila ,, form a line,,
filantropia ,kwo, (kwo) philanthropy,"филантропия; filantropier, filantropista  филантроп",
filantropista ,kwo, (kwo) philanthropist,,
filma ,kwo, (kwo) film (medium used to capture images; motion picture),"фильм; киноплёнка; filmi снимать (на видео); filming съёмка (кино, видео)",
filmi ,zwo," (zwo) film, shoot (record)",,
filming ,kwo, (kwo) shooting See also: kino,,
filosofia ,kwo, (kwo) philosophy,философия; filosofike философский; fai filosofia философствовать; filosofier философ,
fai filosofia ,, philosophize,,
filosofike ,kwel, (kwel) philosophical,,
filosofier ,kwo, (kwo) philosopher,,
filu ,kwo, (kwo) thread,"нить, нитка",
fin ,kwo, 1) (kwo) end,"конец (окончание; край, оконечность); suda-ney fin de urba южный конец города; fin-ney конечный (имеющий конец; заключительный, окончательный); fin-ney valu конечная величина; al fin под конец; pa fin в конце концов, наконец; fin-nem окончательно; nofin-ney бесконечный; nofintaa бесконечность; til fin до конца; (приставка) lekti читать – finlekti дочитать; zwo делать – finzwo доделать; finchi доедать. Ob es fin? - Ya, fin. Это всё? - Да, всё.",
al fin ,, at the end,,
pa fin ,," finally, in the end",,
til fin ,, up to the end,,
ob es fin? ,, is that all?,,
fin-ney ,kwel, (kwel) final; finite,,
fin-nem ,komo, (komo) finally,,
nofin-ney ,kwel," (kwel) endless, infinite",,
nofintaa ,kwo," (kwo) infinity, endlessness",,
fini ,zwo," (zwo) end, be over; finish","заканчивать(ся): olo kel fini hao es hao всё хорошо, что хорошо кончается; finika окончание (грамм.); fa-fini закончиться чем-либо: Nu fa-fini-te pa draki. - Всё закончилось дракой. В конечном счёте мы подрались.",
olo kel fini hao es hao ,, all is well that ends well,,
fa-fini pa ,, end up: Nu fa-fini pa draki. ,,
befini koysa ,," finish with smth, do away with smth",,
finika ,kwo, (kwo) ending (gram.),,
fin,,"2) (syao) ""to the end""","конец (окончание; край, оконечность); suda-ney fin de urba южный конец города; fin-ney конечный (имеющий конец; заключительный, окончательный); fin-ney valu конечная величина; al fin под конец; pa fin в конце концов, наконец; fin-nem окончательно; nofin-ney бесконечный; nofintaa бесконечность; til fin до конца; (приставка) lekti читать – finlekti дочитать; zwo делать – finzwo доделать; finchi доедать. Ob es fin? - Ya, fin. Это всё? - Да, всё.",
"lekti ""read"" ",," finlekti ""read to the end""",,
"chi ""eat"" ",," finchi ""eat to the end""",,
"zwo ""do"" ",," finzwo ""finish doing, complete""",,
final ,kwo," (kwo) final (last contest), finale",финал; final-ney финальный,
finansa ,kwo," (kwo) finance, finances",финансы; finansa-ney финансовый; finansi финансировать; finansing финансирование,
finansa-ney ,kwel, (kwel) financial,,
finansi ,zwo, (zwo) finance,,
finansing ,kwo, (kwo) financing,,
findi ,zwo, (zwo) find,"находить; findi swa оказываться где-л., в каком-л. состоянии: lu findi-te swa sole он оказался один; finda нахождение; находка (тж.findiwat)",
findi swa ,zwo, (zwo) find oneself,,
ta he findi swa sole ,, he found himself alone,,
finda ,kwo, (kwo) find,,
finga ,kwo, (kwo) finger; toe; digit,палец; pedafinga палец ноги; on pedafinga на носках; granfinga большой палец; dikifinga указательный палец; midfinga средний палец; halkafinga безымянный палец; syaofinga мизинец; fingadan напёрсток,
bay finga nok ,, by fingertips,,
granfinga ,kwo, (kwo) thumb,,
dikifinga ,kwo, (kwo) forefinger,,
midfinga ,kwo, (kwo) middle finger,,
halkafinga ,kwo, (kwo) ring-finger,,
syaofinga ,kwo, (kwo) little finger,,
pedafinga ,kwo, (kwo) toe,,
on pedafinga ,, on tiptoe,,
fingadan ,kwo, (kwo) thimble,,
Finikia ,kwo, (kwo) Phoenicia,Финикия,
firma ,kwo, (kwo) firm (business or company),фирма,
fish ,kwo, (kwo) fish,"рыба; fishi ловить рыбу; fisher рыбак; fishing рыбалка, рыбная ловля; fishistik удочка; fishika рыболовная принадлежность; fish-sup уха",
fish-sup ,, fish soup,,
fishi ,zwo, (zwo) fish,,
fisher ,kwo, (kwo) fisherman,,
fishing ,kwo, (kwo) fishing,,
fishistik ,kwo, (kwo) fishing rod,,
fishika ,kwo, (kwo) fishing tackle,,
fishgina ,kwo, (kwo) mermaid Origin: fish+gina,русалка,
fisika ,kwo, (kwo) physics,физика; fisike физический; fisiker физик,
fisike ,kwel, (kwel) physical,,
fisiker ,kwo, (kwo) physicist,,
fiti ,zwo," (zwo) fit, be of the right size; suit (to accord with ","быть впору, быть в самый раз, подходить: palto fiti hao  пальто сидит хорошо; mah-fiti подгонять, прилаживать",
palto fiti hao ,, the coat fits well,,
mah-fiti ,zwo," (zwo) make fit, adjust",,
fitil ,kwo," (kwo) wick, fuse",фитиль,Turkish
fixi ,zwo," (zwo) fix, fasten","прикреплять; укреплять, закреплять; фиксировать; fixing прикрепление; fixika крепление; запор; kan fixi-nem (fixem) смотреть не отрываясь, пристально; fixifi закрепиться; засесть, застрять",
fixing ,kwo, (kwo) fixation,,
fixika ,kwo, (kwo) fastener,,
fixi-ney ,kwel," (kwel) fixed, fastened",,
fixi-nem (fixem) ,komo," (komo) fixedly, steadfastly",,
kan fixem ,, stare,,
fixifi ,zwo," (zwo) become fixed; lodge, get stuck",,
flaga ,kwo, (kwo) flag,флаг; fai uupar flaga поднять флаг; flagastanga флагшток; flagakin флажок,
lifti (fai uupar) flaga ,, hoist/raise a flag,,
flagastanga ,kwo, (kwo) flagstaff,,
flagakin ,kwo," (kwo) small flag, pennon, pennant, bannerette",,
flai ,zwo, (zwo) fly,"летать; flaisa полёт; al flaisa на лету, в полёте; en-flai взлетать; en-flaisa взлёт",
