UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
apìt,départ (à pied),,,,,
apitad,"évitement, action d'éviter",avoidance,,,,
apitli,"évitable, qu'on peut éviter",,,,,
apìto,éviter,avoid (to),evitar,"vermeiden, ausweichen",избежать,evitare
apivo,abreuver,,,,,
apjasad,dégivrage,,,,,
apjaso,dégivrer,,,,,
apjèt,déchet,waste,"desperdicio, desecho",Abfall (m),отбросы,"scarto, rifiuto, cascame"
apjeto,"rejeter, mettre au rebut (V/ jeto ap)",,,,,
apkargo sia - od,débarrasser se - de,,,,,
apkebad,décapitation,,,,,
apkebo,décapiter,behead (to),,,,
apklaro,décanter,,,,,
apklicen,hors circuit,,,,,
apklico,"couper le courant, débrancher",,,,,
apklijad,séquestration,,,,,
apklijo,séquestrer,,,,,
apklinad,"réticence, répugnance, aversion",,,,,
apklino a,"répugner à, être réticent",,,,,
apklorad,décoloration,,,,,
apkloro,"se décolorer, perdre sa couleur",,,,,
apkluzad,isolement (prison),,,,,
apkluzo,mettre en isolement,,,,,
apkorzo,décortiquer,,,,,
apkòt,segment,cutting,,,,
apkotad,amputation,,,,,
apkoto,amputer,,,,,
apkurtad,abréviation,abbreviation,,,,
apkurto,"abréger, écourter",abbreviate (to),abreviar,abkürzen,сокращать,abbreviare
apkusti,off-shore (adj.),,,,,
aplànd,exil,exile (banishment),,,,
aplanden,"exilé, proscrit",exile (person),,,,
aplando,"exiler, proscrire",exile (to),,,,
aplano,aplanir,smooth (to),aplanar 2,glätten,"сглаживать, выравнивать",spianare
aplar,pommier,apple-tree,,,,
aplaria,pommeraie,,,,,
aplasad,abandon,abandonment,,,,
aplasen,"abandonné, délaissé",,,,,
aplaso,"abandonner (personne, lieu)","abandon, leave",abandonar,verlassen,"оставлять, покидать",abbandonare
aplaven,1) délavé 2) blanchi (argent),,,,,
aplavo,1) délaver 2) blanchir (argent),,,,,
aplegad,abolition,abolition,,,,
aplego,abolir,abolish (to),abolir,abschaffen,отменять,abolire
aplejad,soulagement,relief,alivio,Erleichterung,облегчение,sollievo
aplejo,soulager,relieve (to),aliviar,erleichtern,облегчать,alleviare
aplèʒ,dépôt (sédiment),"deposit, sediment (chemical, alluviation)",,,,
apleʒad,dépôt (action de déposer),,,,,
apleʒo,déposer (dépôt) (se - ),,,,,
apli,"de pomme, aux pommes (adj.)",,,,,
aplifrizad,émancipation,,,,,
aplifrizo,émanciper,,,,,
aplifro od,"débarrasser de, libérer de",,,,,
apliglèn,vert-pomme,,,,,
apligrìs,gris pommelé,,,,,
aplispìrt,eau de vie de pomme,,,,,
aplisùc,jus de pomme,,,,,
aplit,petite pomme,,,,,
aplitàrt,tarte aux pommes,,,,,
aplivad,prélèvement,"deducting, taking a sample of",,,,
aplivo,prélever,"deducting, taking a sample of",,,,
"aplòd, aplodad (les - )",applaudissement (s),,,,,
aplodo,applaudir,"applaud, cheer (to)",aplaudir,Beifall klatschen,аплодировать,applaudire
apluzad,absolution,,,,,
apluzo,absoudre,absolve (to),absolver,ablösen,освобождать,assolvere
"apmacel, -cle",détachant,,,,,
apmaco,détacher (tache),remove stains (to),,,,
apmuvli,amovible,removable,,,,
apnablo,couper le cordon ombilical,,,,,
apnavad,appareillage,,,,,
apnavo,appareiller,,,,,
apnea,apnée,,,,,
apnegad,refus,refusal,,,,
apnego,"refuser, récuser",refuse (to),rehusar,"ablehnen, absagen",отказывать,rifiutare
apnemad,"enlèvement, action d'ôter",,,,,
apnemli,"amovible, qu'on peut ôter, enlever",,,,,
apnemo,retirer (V/ nemo ap),,,,,
apogea,apogée,,,,,
apokalìps,apocalypse,,,,,
apokalipsi,apocalyptique,,,,,
apolkad,peuplement (action),,,,,
apolko,peupler,,,,,
apolnad,accomplissement,"fulfilment, accomplishment",,,,
apolno,accomplir,"accomplish, carry out (to)",,,,
apologic,apologétique,,,,,
apologij,apologie,,,,,
apopleksic,apoplectique,,,,,
apopleksij,apoplexie,,,,,
aposnad,retardement,,,,,
aposno,retarder,delay (to),"retrasar, atrasar",aufhalten,опаздывать,ritardare
apostàt,apostat,,,,,
apostol,apôtre,apostle,apóstol,Apostel,апостол,apostolo
apostolad,apostolat,,,,,
apostoli,apostolique,,,,,
apostròf,apostrophe,,,,,
apotèk,pharmacie (magasin),chemist's,farmacia,Apotheke (f),аптека,farmacia
apotekad,pharmacie (science),,,,,
apotekor,pharmacien,"chemist, pharmacist",farmacéutico,Apotheker,аптекарь,farmacista
apoteoz,apothéose,,,,,
apperad,"enlèvement, ramassage (ordures, etc…)",,,,,
apràd,dissuasion,,,,,
apradi,dissuasif,,,,,
aprado,dissuader,,,,,
aprano,"ranger, débarrasser (table, etc…)","clear (to) (table, etc.)",,,,
apraspad,abrasion,,,,,
apraspi,abrasif,,,,,
apraspo,abraser,,,,,
apràst,embranchement,,,,,
apregad,arrangement,arrangement,arreglo,Einrichten,устройство,accomodamento
apreglad,"règlement, action de régler",,,,,
apreglo,régler,,,,,
aprego,"arranger, régler","arrange, settle (to)",arreglar,"einrichten, begleichen",устраивать,"accomodare,sistemare"
aprenad,expiration,,,,,
aprenen,"expiré, périmé",,,,,
apreno,expirer (délai),expire (to),expirar (plazo),ablaufen,истекать,scadere
aprèst,"vestige, reste",,,,,
Aprìl,avril,April,abril,April,апрель,aprile
aprisad,arrachage,,,,,
apriso,arracher,tear away (to),arrancar,"abreißen, ausreißen",отрывать,strappare
aprizad,appréciation,appreciation,,,,
aprìzo,apprécier,appreciate (to),apreciar,schätzen,ценить,apprezzare
aprodad,déracinement,,,,,
aprodo,déraciner,,,,,
aprogad,"action de rogner, abrasion",,,,,
aprogi,abrasif,,,,,
aprogo,"rogner, abraser",,,,,
apruco,écarter,,,,,
apruvad,"approbation, agrément","approval, consent",,,,
apruvo,"approuver, agréer",approve of (to),aprobar,genehmigen,одобрять,approvare
apsacad,ramonage,,,,,
apsaco,ramoner,,,,,
apsacor,ramoneur,,,,,
apsàd,absence,absence,ausencia,Abwesenheit,отсутствие,assenza
apsàn,absent,absent,ausente,abgewesend,отсутствующий,assente
apsegen fucel,fusil à canon scié,,,,,
apsendad,"licenciement, renvoi",dismissal,,,,
apsenden,"licencié, congédié, renvoyé",,,,,
apsendi,de licenciement (adj.),,,,,
apsendo,"licencier, renvoyer","fire, sack, lay off (to)","despedir, licenciar","entlassen, zurückweisen",увольнять,"mandare via, licenziare"
apservo,desservir qqun,,,,,
apsès,abcès,abscess,,,,
apsetad,dépôt (action de déposer),,,,,
apseto,déposer (laisser),"deposit, set down, dump (to)",,,,
apsiavad,privation,,,,,
apsiavo,priver,,,,,
apsìd,abside,,,,,
apsilad,fait de passer sous silence,,,,,
apsilo,"passer sous silence, taire qqch",,,,,
apsìnt,absinthe,,,,,
apskabad,décapage,,,,,
apskailo,écailler,,,,,
apskuce,écoutes (téléphoniques),,,,,
apskuci,d'écoute (adj.),,,,,
apskuco,"écouter, épier, espionner",,,,,
apskutad,ébranlement,,,,,
apskuto,ébranler,,,,,
apslizo,s'éclipser (s'enfuir),,,,,
apsolen,isolé (perdu),isolated,,,,
apsolenad,isolement,,,,,
apsolnad,isolement (action d'isoler),,,,,
apsolno,isoler (écarter),,,,,
apsoluti,absolut,absolute,absoluto,absolut,абсолютный,assoluto
apsolutim,absolument,absolutely,,,,
apsolutisma,absolutisme,,,,,
apsovo,"amortir, absorber (choc)","absorb, cushion (to)",,,,
apspritad,"défection, désistement",,,,,
apsprito,"se désister, faire défection",,,,,
apstàd,"distance, recul",distance,distancia,Abstand (m),расстояние,distanza
apstàn,distant,distant,,,,
apstapad,démission,resignation,,,,
apstapo,démissionner,resign (to),dimitir,zurücktreten,уходить в отставку,dimettersi
apstirad,"tir, lancement (fusée)",,,,,
apstiri,de lancement (fusée),,,,,
apstrati,abstrait,abstract,,,,
apstratid,abstraction,abstraction,,,,
apstrijad,"action de rayer, biffer, radiation",,,,,
apstrijo,"rayer, biffer, radier",,,,,
apstruad,démolition,,,,,
apstruo,démolir,demolish (to),,,,
apstruor,démolisseur,,,,,
apstuken,tronqué,,,,,
apsugad,résorption,,,,,
apsugo,résorber,,,,,
apsurdi,absurde (adj.),absurd,absurdo,"unsinnig, absurd",абсурдный,assurdo
apsurdid,"absurdité, l'absurde",absurdity,,,,
aptenad,abstention,abstention,,,,
apteni,abstinent,,,,,
aptenid,abstinence,,,,,
aptenisma,abstentionniste,,,,,
aptenìst,abstentionniste (N),,,,,
aptenisti,abstentionniste (adj.),,,,,
apteno,s'abstenir,abstain (to),abstenerse,enthalten (sich),воздерживаться,astenersi
aptinto,déteindre,"fade, run (to) (colour)",,,,
aptitad,sevrage,,,,,
aptito,sevrer,,,,,
aptrajad,soustraction,substraction,,,,
aptrajo (sia - ),"soustraire se - , se retirer",,,,,
aptrofad,effacement,"erasing, deletion",,,,
aptrofo,effacer,"delete, rub off, (to)",borrar,"abwischen, verwischen","стирать, вычёркивать",cancellare
apunto,pointer,point (to),,,,
apuzad,"épuisement (stock, etc.)",,,,,
apuzo,"utiliser jusqu'au bout, épuiser (stock, forces…)",,,,,
apvàj,détour,"detour, diversion","rodeo, desvío","Umweg, Umleitung",объезд,"svolta, deviazione"
apvajad,déviation,diversion,"desvío, desviación",Umleitung,объезд,deviazione
apvajo,"dévier, détourner (route)",divert (to),,,,
apvalgad,digression,,,,,
apvalgo,"s'écarter de, digresser",,,,,
apvàng,"endroit escarpé, corniche",,,,,
apvangi,"escarpé, abrupt",,,,,
apvardo,cloisonner (isoler),,,,,
apvàrk,congé (vacances),"leave, time off",,,,
apvarki,de congé (adj.),,,,,
apvenad,"issue, résultat",,,,,
apvende,soldes (les),sales,saldos,"Ausverkauf, Schluß-",распродажа,saldi
apvendo,solder,,,,,
apveno,"avoir pour issue, finir par",,,,,
apvicad,esquive,,,,,
apvico,"esquiver, dévier (coup)",deviate (to),desviar,abweichen,отклонять,deviare
apvilad,épilation,,,,,
apvilo,épiler,,,,,
apvìr,détour,,,,,
apvirad,"détournement, mise à l'écart",aversion,aversión,Abneigung,отвращение,avversione
"apviro, sia apviro od","détourner, écarter, dévier, conjurer (sort), (se - de)",,,,,
apvirtad,"aversion, dégoût",,,,,
apvirtan,"dégoûtant, répugnant",,,,,
apvirtic,répugnant,,,,,
apvirtij,répugnance,,,,,
apvirtili,abominable,,,,,
apvirtilid,abomination,,,,,
apvirto,"susciter l'aversion, le dégoût",,,,,
apvokad,dissuasion,dissuasion,,,,
apvoki,dissuasif,,,,,
apvoko,dissuader,dissuade (to),,,,
apvuzo,"débarrasser, évacuer",,,,,
apwico,effacer,,,,,
"apzàt, apzatim",à l'écart,,,,,
apzaten,"écarté, mis à l'écart",,,,,
apzato sia -,"écarter (mettre à l'écart), s'écarter",,,,,
ar,are,,,,,
"Aràb, Araba",Arabe (N),,,,,
arabèsk,arabesque,,,,,
Arabi,Arabe (adj & langue),Arabic,,,,
Arabia,Arabie,,,,,
arano,"mettre en rang, ranger",,,,,
arànʒ,orange (fruit),orange,naranja,Apfelsinne (f),апельсин,arancia
aranʒad,orangeade,,,,,
aranʒar,oranger,,,,,
aranʒaria,orangeraie,,,,,
aranʒi,"orange (adj., couleur)",orange (color),naranja (color),orangengelb,оранжевый,arancio (colore)
arèd,accessoire (N),outfit,equipo,Ausrüstung,"снаряжение, оборудование",armamentario
aredad,"équipement (action), aménagement",,,,,
"aredel, -dle","attirail, équipement, matériel",,,,,
aredo,équiper,equip (to),equipar,ausrüsten,оборудовать,attrezzare
aredor,"accessoiriste, équipemen-tier",,,,,
aregad,redressement,,,,,
arego,"rendre droit, dresser",,,,,
"arel, pl. arle",aigle,,,,,
arena,arène,arena,,,,
areno,accourir,run up (to),,,,
arèst,arrêt (détention),,,,,
arestad,arrestation,arrest,,,,
aresten,détenu,,,,,
aresti,d'arrêt (adj.),,,,,
arestidòm,maison d'arrêt,,,,,
aresto,arrêter (capturer),arrest (to),"detener, arrestar",verhaften,арестовывать,arrestare
"Argentìn, -a","Argentin, -e (N)",,,,,
Argentini,"argentin, -e (adj.)",,,,,
Argentinia,Argentine,Argentina,Argentina,Argentinien,Аргентина,Argentina
argumènt,argument,argument,argumento,Argument,аргумент,argomento
argumentad,argumentation,,,,,
argumenti,argumentatif,,,,,
argumento,argumenter,argue (to),,,,
aria,"aire, zone, alentours, coin",area,área,"Grundfläche, Platz","площадь, зона",area
aricad,enrichissement (argent),,,,,
arico,enrichir (argent),,,,,
aristokràt,aristocrate,aristocrat,,,,
aristokratic,aristocratique,,,,,
aristokratij,aristocratie,aristocracy,aristocracia,Aristokratie,аристократия,aristocrazia
aritmetik,arithmétique (N),arithmetic (N),,,,
aritmetiki,arithmétique (adj.),,,,,
ark,"arche, arc (architec-ture)",arch,arco,Bogen (Archit.),арка,arco
arka,arche (coffre),,,,,
arkad,arcade,arcade,arcada,Bogengang,аркада,arcata
arkaiki,archaïque,,,,,
arkaisma,archaïsme,,,,,
arkanʒèl,archange,,,,,
arkebùz,arquebuse,,,,,
arkebuzor,arquebusier,,,,,
arkeologic,archéologique,archaeological,,,,
arkeologij,archéologie,archaeology,,,,
arkeologìst,archéologue,archaeologist,,,,
arki-,archi-,,,,,
arkibiskòp,archevêque,,,,,
arkibiskopia,archevêché,,,,,
arkidùk,archiduc,,,,,
arkidukia,archiduché,,,,,
arkipela,archipel,,,,,
arkit,arceau,,,,,
arkitektad,architecture,architecture,,,,
arkitekto,"réaliser, construire, con-cevoir, faire le projet de",,,,,
arkitektor,architecte,architekt,arquitecto,Architekt,архитектор,architetto
arkìve,archives,,,,,
arkivìst,archiviste,,,,,
arkìvo,archiver,,,,,
arli,"aquilin, d'aigle",,,,,
arlit,aiglon,,,,,
arm,arme,"weapon, arm",arma,Waffe,оружие,arma
armad,armement,armament,,,,
armada,armada,,,,,
armar,armoire,,,,,
arme,armoiries,,,,,
armèl,armure,,,,,
armen,armé,armed,,,,
armi,"d'arme (adj.), relatifs aux armes",,,,,
armid,armée,army,ejército,"Armee (f), Heer (n)",армия,esercito
armihàl,arsenal,,,,,
armiticad,armistice,,,,,
armo,armer,arm (to),,,,
armor,armurier,,,,,
armoria,armurerie,,,,,
aroganti,arrogant,arrogant,,,,
arogantid,arrogance,,,,,
arojo,rougir (rendre rouge),,,,,
aroma,arôme,aroma,aroma,Aroma,аромат,aroma
aromati,aromatique,aromatic,aromático,aromatisch,ароматический,aromatico
aròn,autour (de) (prep & adv.),around,alrededor,um (herum),вокруг,intorno (a)
arono,arrondir,,,,,
aronvirad,contournement,,,,,
aronviro,contourner,,,,,
arpi,âpre,,,,,
art,art,art,arte,Kunst (f),искусство,arte
artèr,artère,artery,arteria,Schlagader,артерия,arteria
arteri,artériel,,,,,
arti,"artistique, d'art",artistic,artístico,künstlerisch,художественный,artistico
articòk,artichaud,artichoke,alcachofa,Artischocke,артишок,carciofo
artidèt,"artifice, artefact",,,,,
artideti,artificiel (gen),artificial,artificial,künstlich,искусственный,artificiale
artifoj,feu d'artifice,,,,,
artifojor,"artifivier, pyrotechnicien",,,,,
artigusor,amateur d'art,,,,,
"artikel, pl artikle",article,,,,,
artileric,d'artillerie (adj.),,,,,
artilerij,artillerie,,,,,
artilerìst,artilleur,,,,,
artimakad,artisanat d'art,,,,,
artimaken,artificiel (fabriqué),,,,,
artimakor,artisan d'art,craftsman,artesano,Kunsthandwerker,художественный мастер,artigiano
"artìst, artista",artiste,,,,,
artivàrk,oeuvre d'art,work of art,,,,
artrìt,arthrite,arthritis,artritis,Gelenkentzündung,артрит,artrite
artriti,arthritique (adj.),,,,,
artritin,arthritique (N.),,,,,
artròz,arthrose,arthritis (people),,,,
as,as (cartes & fig.),,,,,
asaitad,sanctification,,,,,
asaito,sanctifier,,,,,
asamad,rassemblement,,,,,
asamij,assemblée,assembly,,,,
asamo,"rassembler, assembler (groupe)","assemble, gather (to)",,,,
asaro,ensorceler,,,,,
asasinad,assassinat,assassination,,,,
asasino,assassiner,,,,,
asasinor,assassin,,,,,
asbèst,amiante,,,,,
asedo,asseoir (quelqu'un),,,,,
"asel, pl. asle",âne,,,,,
asemad,apparition,"appearance, arrival",,,,
asemi,apparent,apparent,aparente,"scheinbar, offenbar",видимый,apparente
asemid,apparence,"appearance, aspect",,,,
asemo,apparaître,appear (to),aparecer,erscheinen,появляться,apparire
asen,frêne,,,,,
asesor,assesseur,,,,,
asetad,adjonction,,,,,
aseto,adjoindre,,,,,
asevad,ensemencement,,,,,
asevo,ensemencer,,,,,
asfàlt,asphalte,,,,,
asfalten,asphalté,,,,,
asfalti,d'asphalte (adj.),,,,,
asiavad,"acquisition, appropriation",acquisition,,,,
asiaven,acquis (adj),,,,,
asiavo,"s'approprier, acquérir",acquire (to),adquirir,erwerben,приобретать,acquistare
asiedan,accommodant,,,,,
asiedo,"accommoder, adapter, ajuster (vêtement)",,,,,
asik,vinaigre,vinegar,vinagre,Essig (m),уксус,aceto
asiki,de vinaigre (adj.),,,,,
asikurad,"assurance (incendie, etc),",insurance,seguro (contra riesgos),Versicherung,страхование,assicurazione
asikuro,"assurer (contre l'incendie, etc)",insure (to),asegurar (contra),versichern,страховать,assicurare
asikuror,assureur,insurer,asegurador,Versicherer,страховщик,assicuratore
asilad,"action de réduire au silen-ce, de passer sous silence",,,,,
asilo,faire taire,,,,,
asistad,"assistance, aide, secours",assistance,"asistencia, ayuda",Beistand,"содействие, поддержка",assistenza
"asistan, -a","assistant, -e",,,,,
asisto,"assister (aider), secourir","assist, rescue (to)","socorrer, asistir","beistehen, helfen",содействовать,"soccorrere, assistere"
asiudad,accoutumance,,,,,
asiudo,accoutumer,,,,,
asiurad,assurance (act. de certifier),assurance,,,,
asiuro,assurer (certifier),assure (to),asegurar (afirmar),"versichern, behaupten",уверять,"assicurare, garantire"
askabo,"décaper, râcler",,,,,
askandan,"humiliant, qui fait honte",,,,,
askando,faire honte à qqun,,,,,
askerpen,affilé (tranchant),,,,,
askerpo,"affiler, affûter (tranchant)",,,,,
askèt,ascète,,,,,
asketi,ascétique,,,,,
asketisma,ascétisme,,,,,
askrivad,attribution,"assignment, allocation",,,,
askrivo,"attribuer, allouer, affecter","assign, ascribe (to)","asignar, adscribir",zuschreiben,приписывать,assegnare
askuran,"inquiétant, préoccupant",worrying,,,,
askuro,"inquiéter, préoccuper",,,,,
aslejo,appliquer une couche de,,,,,
asli,d'âne (adj.),,,,,
aslid,ânerie,,,,,
aslirùk,dos d'âne,,,,,
aslit,anon,,,,,
aslizo,"faire glisser, glisser (trans.)",,,,,
aslor,ânier,,,,,
asma,asthme,asthma,asma,Asthma,астма,asma
asmati,asthmatique (adj.),asthmatic,,,,
asmatin,asthmatique (N),,,,,
asolad,"ensoleillement, exposition au soleil",,,,,
asolen,"ensoleillé, exposé au soleil",,,,,
asolo,exposer au soleil,,,,,
asopan,endormant,,,,,
asopic,soporifique,,,,,
asopo,endormir,,,,,
Asòre,Açores,,,,,
asortad,assortiment,"variety, assortment",surtido,Auswahl,ассортимент,assortimento
asorto,assortir,,,,,
asosiad,association,association,asociación,"Verein, Verband","ассоциация, объединение",associazione
asosien,associé,,,,,
asosio,associer,associate (to),,,,
aspèk,aspect,appearance,aspecto,Aussehen,внешний вид,aspetto
aspelad,accélération,,,,,
aspelèl,accélérateur,accelerator,acelerador,Gashebel,ускоритель,acceleratore
aspelo,accélérer,accelerate (to),acelerar,beschleunigen,ускорять(ся),accelerare
aspen,tremble (arbre),,,,,
aspezad,assaisonnement,seasoning,,,,
aspezen,assaisonné,seasoned,,,,
aspezo,assaisonner,season (to),,,,
aspijad,aspersion,,,,,
aspijo,"asperger, arroser (qqun, qqch)","spray, hose (to)",,,,
aspirin,aspirine,aspirin,aspirina,Aspirin,аспирин,aspirina
aspitèl,affiloir,,,,,
aspiten,aiguisé,,,,,
aspitikàm,pierre à aiguiser,,,,,
aspito,aiguiser,sharpen (to),,,,
astàp,accès,,,,,
astapad,approche (de qqun),,,,,
astapo a,accéder à,,,,,
astapo ekun,"approcher, aborder qqun",,,,,
"aster, pl astre",astre,,,,,
astra,aster,,,,,
astrenad,contrainte,constraint,"coacción, obligación","Zwang, Nötigung",принуждение,costrizione
astreni,contraignant,,,,,
astreno,contraindre,"compel, constrain (to)",,,,
astrologic,astrologique,,,,,
astrologij,astrologie,astrology,,,,
astrologìst,astrologue,astrologer,,,,
astromo,"affluer, accourir de tous les côtés",,,,,
astronavor,astronaute,,,,,
astronomij,astronomie,astronomy,,,,
astronomìst,astronome,astronomer,,,,
astruen,"annexe, dépendance (bât.)",,,,,
astufad,étouffement,,,,,
astufo,étouffer qqun,"smother, stifle (to)",,,,
asubjetad,assujettissement,,,,,
asubjeto,assujettir,,,,,
asumad,montant (somme),,,,,
asumo a,se monter à (somme),amount to (to),ascender a (suma),betragen,составлять сумму,ammontare
asunad,assainissement,,,,,
asungo,"couler (trans), faire couler (bateau)",,,,,
asuno,assainir,,,,,
aswajad,"adoucissement (plus, sucré, plus tendre)",,,,,
aswajo,"adoucir (plus sucré), édulcorer",,,,,
atàk,"attaque (gen), crise, accès (maladie)",attack,ataque,Angriff (m),"атака, нападение",attacco
ataki,d'attaque (adj.),,,,,
atako,attaquer,attack (to),atacar,angreifen,атаковать,attaccare
atakor,attaquant,attacker,,,,
atanad,action de fatiguer,,,,,
atanan,fatigant,tiring,fatigoso,ermüdend,утомительный,faticoso
atano,fatiguer (trans.),tire (to),,,,
ateic,athée (adj.),,,,,
ateisma,athéisme,,,,,
ateìst,athée (N),,,,,
atelad,aboutissement,,,,,
atelo a,aboutir (atteindre un but),"end in, come off (to)",,,,
atenad,attitude,attitude,actitud,Haltung,отношение,atteggiamento
atensad,attention (soin),attention,atención,Aufmerksamkeit,внимательность,attenzione
atensi,attentif,attentive,atento,aufmerksam,внимательный,attento
atensim,attentivement,,,,,
atenso,attentif (être - ),attention (to pay),atento (estar),acht-geben,внимательным (быть - ),attento (stare)
atentad,attentat,,,,,
aterad,atterrissage,landing,aterrizaje,Landung,приземление,atterraggio
atermo,"fixer un terme, un delai",,,,,
atero,atterrir,land (to),aterrizar,landen,приземляться,atterrare
atestad,attestation,,,,,
atesto,attester,,,,,
atiedan,ennuyeux,"tedious, boring","aburrido, tedioso",langweilig,скучный,"noioso, tedioso"
atiedo,ennuyer (lasser),bore (to),aburrir,langweilen,наскучивать,"tediare, annoiaire"
Atina,Athènes,,,,,
atinad,atténuation,,,,,
Atinan,Athénien,,,,,
atino,atténuer,attenuate (to),,,,
atitad,allaitement,,,,,
atito,allaiter,breastfeed (to),,,,
Atlanti (Oseàn),Atlantique (adj) (océan - ),,,,,
atlàs,atlas,atlas,atlas,Atlas,атлас,atlante
atlèt,athlète,athlete,atleta,Athlet,атлет,atleta
atleti,athlétique,athletic,atlético,athletisch,"спортивный, атлетический",atletico
atletisma,athlétisme,,,,,
atmosfèr,atmosphère,atmosphere,atmósfera,Atmosphäre,атмосфера,atmosfera
atmosferi,atmosphérique,,,,,
atòg,impact,,,,,
"atogad,","atteinte, portée",,,,,
atogia,portée,,,,,
atogli,accessible (que l'on peut atteindre),,,,,
atogo,atteindre,reach (to),alcanzar,erreichen,достигать,raggiungere
atòl,atoll,atoll,,,,
atòm,atome,atom,átomo,Atom,атом,atomo
atomi,atomique,atomic,atómico,Atom-,атомный,atomico
atormad,assault,,,,,
atormo,"donner l'assaut, prendre d'assaut",,,,,
atràj,attrait,,,,,
atrajad,"attirance, attraction",attraction,,,,
atrajan,"attirant, attractif, attrayant, séduisant",attractive,atractivo,anziehend,привлекательный,attraente
atrajo,"attirer, allécher, polariser",attract (to),atraer,"anziehen, anlocken",привлекать,attrarre
atrofic,atrophié,,,,,
atrofij,atrophie,,,,,
atrofivo,atrofier (s' -),,,,,
atuco,"ternir, affadir (couleur)",,,,,
audièns,audience,audience (with a VIP),,,,
auksiòn,vente aux enchères,auction,subasta,Auktion,аукцион,asta (vendita all')
auksiono,"vendre aux enchères, adjuger",,,,,
auksionor,commissaire priseur,,,,,
aur,aurore,"dawn, first light",,,,
Australia,Australie,Australia,Australia,Australien,Австралия,Australia
"Australian, -a","Australien, -ne",,,,,
autentic,authentique,authentic,auténtico,authentisch,"подлинный, аутентичный",autentico
autentij,authenticité,,,,,
autò,auto,,,,,
autogràf,autographe,autograph,,,,
autohaltad,autostop,hitch-hiking,,,,
autohalto,faire de l'autostop,,,,,
autohaltor,autostoppeur,,,,,
autokotca,autocar,,,,,
automàt,"automate, distributeur (machine)",vending machine,máquina tragaperras,Automat,автомат,distributore.automatico
automati,automatique,automatic,automático,automatisch,автоматический,automatico
automatim,automatiquement,,,,,
automatisma,automatisme,,,,,
autopsij,autopsie,autopsy,,,,
"autor, -a","auteur, -e",author,,,,
autoràd,autoroute,motorway,autopista,Autobahn (f),автомагистраль,autostrada
autoritad,"autorité, empire (fig.)",authority,,,,
autoritan,autoritaire,authoritarian,,,,
autorizad,autorisation,authorization,autorización,Bevollmächtigung,уполномочивание,autorizzazione
autorizo,autoriser,authorize (to),autorizar,bevollmächtigen,разрешать,autorizzare
avad,bien (possession),"property, possession",,,,
avàd,"accès, accession",access,acceso,Zugang,доступ,accesso
avadli,"accessible, abordable",accessible,accesible,zugänglich,доступный,accessibile
avado a,accéder à,accede to (to),acceder,Zugang haben,доступ (иметь - ),accedere
avalto,"valoriser, donner de la valeur à",,,,,
avangad,suspension (action de suspendre),hanging (thing),,,,
"avangel, -gle","pendentif, pendeloque",,,,,
avango,"accrocher, suspendre, pendre (qqch)",hang (to),"colgar, suspender (trans.)",anhängen,"вешать, подвешивать","appendere, sospendere"
avarij,panne,breakdown,averia,Panne,"поломка, авария",avaria
aven,eu (participe passé de avoir),,,,,
avenad,arrivée,arrival,llegada,Ankunft (f),"приход, приезд",arrivo
avenia,avenue,avenue,avenida,"Allee, Straße","проспект, авеню","corso, via"
aveno,arriver (venir),"arrive, come (to)",llegar,ankommen,приехать,"arrivare,giungere"
aveno ru,regagner (retourner en un lieu),,,,,
avenor,arrivant,,,,,
aventùr,aventure,adventure,aventura,Abenteuer (n),"приключение, авантюра",avventura
aventuri,aventureux (d'aventure),,,,,
aventuric,aventureux (risqué),,,,,
"aventuror, -a","aventurier, -ière",,,,,
averad,affirmation,assertion,,,,
averi,affirmatif,,,,,
averim,affirmativement,,,,,
avero sia avero,affirmer (s' - ),,,,,
avez,avoine,oats,avena,Hafer (m),овёс,avena
avèz,lest,,,,,
avezo,"lester, suspendre un poids",,,,,
avi,"aérien, aéronautique (d'avion, d'aviation)",air - (plane),,,,
avi kontrolor,aiguilleur du ciel,,,,,
aviad,aviation,"aviation, flying",,,,
avibazia,base aérienne,,,,,
avibiliet,billet d'avion,,,,,
avièl,avion,plane,avion,Flugzeug (n),самолёт,aeroplano
aviflot,flotte aérienne,,,,,
avifòrs,armée de l'air,,,,,
aviklùb,aéroclub,,,,,
avilìn,ligne aérienne,airline,,,,
aviluka,hublot (avion),,,,,
avim,"en avion, par avion (poste)",plane (by),aviòn (en),Flugzeug (mit dem),самолётом,aereo (con l')
avimari,aéronaval,,,,,
avimodelad,aéromodélisme,,,,,
avinàv,aéronef,,,,,
avinavi,aéronaval,,,,,
avintad,ventilation,ventilation,,,,
avinto,ventiler,ventilate (to),,,,
avior,aviateur,"airman, aviator",,,,
avipati,atteint du mal de l'air,,,,,
avipatid,mal de l'air,,,,,
aviperen,aéroporté,,,,,
avipòld,"aérodrome, terrain d'aviation",,,,,
avipònt,pont aérien,,,,,
avipòrt,aéroport,,,,,
aviporti,aéroportuaire,,,,,
avipòst,poste aérienne,,,,,
aviposti,aéropostal,,,,,
avipostim,par avion (poste),airmail (by -),vía aérea (por -),Luftpost (mit -),авиапочтой,posta aerea (per -)
avirto,contourner,"skirt, get round (to)",,,,
aviruta,route aérienne,,,,,
